Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.664404418,328.0,10784,89,100,720
0.0,true,0.711118287,310.0,8255,76,85,682
0.0,true,0.685038758,294.0,9855,90,101,664
0.0,true,1.593174351,550.0,16522,147,177,1127
0.0,true,0.756542437,378.0,9911,95,116,786
0.0,true,1.786025626,442.0,10882,95,125,895
0.0,true,0.793670631,358.0,9018,80,92,750
0.0,true,0.629784141,350.0,11058,94,107,751
0.0,true,0.797172957,308.0,8388,86,93,689
0.0,true,1.180927239,378.0,8926,93,113,788
0.0,true,1.749388663,494.0,14240,145,160,1044
0.0,true,0.467714854,286.0,8959,78,86,624
0.0,true,0.863112956,336.0,9205,94,110,726
0.0,true,0.884273562,418.0,14748,137,156,884
0.0,true,0.775650075,368.0,14990,113,136,778
0.0,true,1.334995189,400.0,10173,94,110,791
0.0,true,0.725173046,420.0,12574,105,123,845
0.0,true,0.594441384,380.0,13331,107,126,811
0.0,true,0.505926591,332.0,12116,98,111,756
0.0,true,0.851389709,376.0,10887,84,105,794
0.0,true,0.55292093,460.0,13978,122,138,934
0.0,true,0.498478815,364.0,10308,84,101,770
0.0,true,0.894999214,296.0,8970,76,90,628
0.0,true,1.136155573,420.0,12739,105,125,880
0.0,true,0.489053642,396.0,10343,106,125,860
0.0,true,1.037842009,396.0,11841,104,127,822
0.0,true,1.351153781,372.0,10135,97,111,778
0.0,true,1.048968032,386.0,10481,90,109,786
0.0,true,0.452219868,320.0,11366,81,95,688
0.0,true,0.898154857,400.0,9782,89,108,830
0.0,true,0.741836417,286.0,6038,57,66,633
0.0,true,0.658668359,322.0,9644,76,90,697
0.0,true,1.268414073,590.0,21703,150,174,1118
0.0,true,0.435011653,346.0,12739,94,111,807
0.0,true,0.935820223,370.0,11481,91,112,761
0.0,true,0.436675028,386.0,11726,99,122,831
0.0,true,0.505405612,302.0,9216,76,85,666
0.0,true,0.486784243,324.0,10420,81,96,688
0.0,true,1.163873445,408.0,10978,119,139,853
0.0,true,0.766514723,298.0,8782,76,90,642
0.0,true,0.683054092,472.0,13153,114,137,969
0.0,true,0.94191629,392.0,13975,99,114,822
0.0,true,0.618294672,378.0,13486,106,123,811
0.0,true,0.856239549,378.0,11259,100,115,762
0.0,true,0.803388475,384.0,11684,105,124,798
0.0,true,0.518171913,306.0,10157,74,89,660
0.0,true,0.988227907,386.0,11646,88,105,745
0.0,true,0.831162947,308.0,8050,73,83,672
0.0,true,1.018913119,354.0,9011,83,99,753
0.0,true,0.524334862,312.0,11303,97,111,680
0.0,true,0.867751799,432.0,16278,126,155,935
0.0,true,1.194533208,474.0,15214,127,153,944
0.0,true,0.870825945,352.0,8767,83,99,733
0.0,true,0.616059185,420.0,15084,101,122,816
0.0,true,1.014655863,348.0,10229,92,98,673
0.0,true,0.727676092,442.0,13345,118,134,932
0.0,true,0.813045101,408.0,11542,105,123,843
0.0,true,1.44557475,340.0,7784,94,106,756
0.0,true,1.068056299,362.0,13524,112,129,790
0.0,true,1.82458804,412.0,10105,104,121,858
0.0,true,0.64125051,314.0,8820,82,93,704
0.0,true,0.394472882,320.0,11860,97,109,738
0.0,true,0.596674308,370.0,10387,84,105,785
0.0,true,0.596873773,332.0,9908,92,101,715
0.0,true,0.884078738,384.0,10411,107,120,767
0.0,true,0.678731092,318.0,9375,101,111,738
0.0,true,0.909520338,354.0,12779,112,125,722
0.0,true,0.974528912,404.0,8594,80,97,789
0.0,true,0.634134231,444.0,15396,125,144,939
0.0,true,0.79307023,506.0,15329,132,154,1014
0.0,true,0.785149462,386.0,13702,120,134,854
0.0,true,0.916892345,330.0,9619,95,108,715
0.0,true,1.326046941,320.0,9603,69,85,672
0.0,true,1.759906652,430.0,15718,135,148,862
0.0,true,2.335085381,388.0,12280,107,126,827
0.0,true,1.53253825,316.0,8909,73,84,670
0.0,true,1.230224147,356.0,8527,100,111,793
0.0,true,1.714770505,400.0,12300,95,121,835
0.0,true,1.402662951,434.0,14761,118,139,872
0.0,true,1.48863525,348.0,9813,97,106,766
0.0,true,2.838606858,452.0,9904,107,132,943
0.0,true,6.572014874,478.0,14942,133,161,1029
