Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,318.0,-1.0,-1.0,9680,1.0,0.0
0.0,true,-1,460.0,-1.0,-1.0,11327,1.0,0.0
0.0,true,-1,298.0,-1.0,-1.0,7556,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,7625,1.0,0.0
0.0,true,-1,354.0,-1.0,-1.0,10161,1.0,0.0
0.0,true,-1,396.0,-1.0,-1.0,8704,1.0,0.0
0.0,true,-1,408.0,-1.0,-1.0,11174,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,6934,1.0,0.0
0.0,true,-1,326.0,-1.0,-1.0,8263,1.0,0.0
0.0,true,-1,296.0,-1.0,-1.0,6185,1.0,0.0
0.0,true,-1,318.0,-1.0,-1.0,8841,1.0,0.0
0.0,true,-1,404.0,-1.0,-1.0,10055,1.0,0.0
0.0,true,-1,394.0,-1.0,-1.0,10797,1.0,0.0
0.0,true,-1,362.0,-1.0,-1.0,9922,1.0,0.0
0.0,true,-1,462.0,-1.0,-1.0,9821,1.0,0.0
0.0,true,-1,288.0,-1.0,-1.0,7818,1.0,0.0
0.0,true,-1,446.0,-1.0,-1.0,10961,1.0,0.0
0.0,true,-1,432.0,-1.0,-1.0,10021,1.0,0.0
0.0,true,-1,370.0,-1.0,-1.0,8355,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,6989,1.0,0.0
0.0,true,-1,316.0,-1.0,-1.0,10416,1.0,0.0
0.0,true,-1,326.0,-1.0,-1.0,7576,1.0,0.0
0.0,true,-1,308.0,-1.0,-1.0,6707,1.0,0.0
0.0,true,-1,366.0,-1.0,-1.0,11115,1.0,0.0
0.0,true,-1,316.0,-1.0,-1.0,7017,1.0,0.0
0.0,true,-1,432.0,-1.0,-1.0,12070,1.0,0.0
0.0,true,-1,450.0,-1.0,-1.0,9862,1.0,0.0
0.0,true,-1,508.0,-1.0,-1.0,11449,1.0,0.0
0.0,true,-1,356.0,-1.0,-1.0,8698,1.0,0.0
0.0,true,-1,288.0,-1.0,-1.0,8459,1.0,0.0
0.0,true,-1,374.0,-1.0,-1.0,7593,1.0,0.0
0.0,true,-1,356.0,-1.0,-1.0,8699,1.0,0.0
0.0,true,-1,388.0,-1.0,-1.0,6846,1.0,0.0
0.0,true,-1,370.0,-1.0,-1.0,9197,1.0,0.0
0.0,true,-1,288.0,-1.0,-1.0,6098,1.0,0.0
0.0,true,-1,422.0,-1.0,-1.0,10027,1.0,0.0
